Studio,City,Country,Latitude,Longitude
37Degrees Studio,Wellington,New Zealand,-41.2785362,174.7766418
Plastic Wax,Sydney,Australia,-33.86785,151.2073212
Distillery VFX,Vancouver,Canada,49.2496574,-123.119339
Duolingo,Pittsburgh,United States,40.4406248,-79.9958878
Guru Studio,Toronto,Canada,43.7001138,-79.4163055
Thought Pennies,Los Angeles,United States,34.0522342,-118.2436829
Fathom VFX,Auckland,New Zealand,-36.8666667,174.7666626
Sandsoft,Barcelona,Spain,41.3887869,2.1589851
Beast Burst Entertainment,Sofia,Bulgaria,42.6975135,23.3241463
Lark Productions,Vancouver,Canada,49.2496574,-123.119339
321LAUNCH,New York City,United States,40.7142691,-74.0059738
Elsewhere Entertainment,Warsaw,Poland,52.25,21
Wargaming,Shanghai,China,31.2222222,121.4580536
MS-1,Berlin,Germany,52.5166667,13.3999996
MS-1,Vilnius,Lithuania,54.6833333,25.3166676
EA Create,Shanghai,China,31.2222222,121.4580536
EA Studios,Bucharest,Romania,44.4333333,26.1000004
Full Circle,Montreal,Canada,45.5167792,-73.6491776
ImageryFX,Hyderabad,India,17.3752778,78.4744415
ELK Studios,Stockholm,Sweden,59.3325765,18.0649033
Ellipse Studio,Paris,France,48.85341,2.3487999
Double Fine,San Francisco,United States,37.7749295,-122.4194183
Infinity Animations,New York City,United States,40.7142691,-74.0059738
Skydance Animation,Los Angeles,United States,34.0522342,-118.2436829
Spellwork,Berlin,Germany,52.5166667,13.3999996
Mimic,Berlin,Germany,52.5166667,13.3999996
Gameloft,Bucharest,Romania,44.4333333,26.1000004
Miniclip,Zoetermeer,Netherlands,52.0575,4.4930558
Kolibri Games,Berlin,Germany,52.5166667,13.3999996
Larian Studios,Dublin,Ireland,53.3330556,-6.248889
Larian Studios,Warsaw,Poland,52.25,21
Larian Studios,Barcelona,Spain,41.3887869,2.1589851
ROVE,Portland,United States,45.5234515,-122.6762085
Ilitch Sports and Entertainment (for the Detroit Red Wings and Detroit Tigers),Detroit,United States,42.331427,-83.0457535
Houston Texans,Houston,United States,29.7632836,-95.3632736
Cincinnati Bengals,Cincinnati,United States,39.1620036,-84.4568863
King,Barcelona,Spain,41.3887869,2.1589851
Saffronic,Chennai,India,13.0878385,80.2784729
OSome Studio,Lyon,France,45.75,4.8499999
TELEVISOR Studio,Warsaw,Poland,52.25,21
Digital Extremes,London,Canada,42.9833893,-81.2330399
Ubisoft,Sherbrooke,Canada,45.400083,-71.8990784
Amber,Montreal,Canada,45.5167792,-73.6491776
BANANA Creative Agency,Lille,France,50.6333333,3.0666666
HexWorks,Barcelona,Spain,41.3887869,2.1589851
Wingingstones Animation Studio,Gyumri,Armenia,40.7894444,43.8474998
Intrepid Studios,San Diego,United States,32.7153292,-117.1572571
Ingenuity Studios,New York City,United States,40.7142691,-74.0059738
Milk VFX,Dublin,Ireland,53.3330556,-6.248889
Hooded Horse,Dallas,United States,32.7830556,-96.8066635
Brass Token,Vancouver,Canada,49.2496574,-123.119339
That's No Moon,Los Angeles,United States,34.0522342,-118.2436829
Urknall GmbH,Siegen,Germany,50.8666667,8.0333328
Yellow Road Creative House,Madrid,Spain,40.4165021,-3.7025642
MachineGames,Uppsala,Sweden,59.8585015,17.6454277
WildBrain Studios,Vancouver,Canada,49.2496574,-123.119339
Kavaleer,Dublin,Ireland,53.3330556,-6.248889
